text,schlaf,stress,bewegung,ernaehrung
"Ich liege jede Nacht wach und starre an die Decke. Mein Kopf kommt einfach nicht zur Ruhe. Morgens fühle ich mich wie gerädert.","1","0","0","0"
"Schon wieder bis drei Uhr wach gewesen. Ich wälze mich nur hin und her. Tagsüber bin ich total müde.","1","0","0","0"
"Ich schlafe in letzter Zeit richtig schlecht. Jede Kleinigkeit weckt mich auf. Tiefschlaf fühlt sich weit weg an.","1","0","0","0"
"Kaum liege ich im Bett fängt das Gedankenkarussell an. Einschlafen dauert ewig. Das nervt einfach.","1","0","0","0"
"Heute Nacht vielleicht drei Stunden geschlafen. Ich bin völlig platt. Kaffee hilft auch nicht mehr.","1","0","0","0"
"Ich wache ständig mitten in der Nacht auf. Danach finde ich nicht mehr zurück in den Schlaf. Das macht mich fertig.","1","0","0","0"
"Mein Schlafrhythmus ist komplett durcheinander. Abends bin ich hellwach und morgens komme ich nicht raus. Irgendwas läuft falsch.","1","0","0","0"
"Ich träume total wirres Zeug und wache verschwitzt auf. Erholt fühle ich mich null. So kann das nicht weitergehen.","1","0","0","0"
"Seit Tagen schlafe ich kaum durch. Jede Nacht fühlt sich ewig an. Ich sehne mich nach einer ruhigen Nacht.","1","0","0","0"
"Ich gehe müde ins Bett und bin trotzdem stundenlang wach. Mein Körper ist erschöpft aber der Kopf nicht. Das ist zermürbend.","1","0","0","0"
"Immer wieder schaue ich nachts aufs Handy weil ich eh nicht schlafe. Am nächsten Tag bereue ich es. Ich fühle mich dauernd müde.","1","0","0","0"
"Ich schlafe ein und wache kurz darauf wieder auf. So geht das die ganze Nacht. Kein Wunder dass ich gereizt bin.","1","0","0","0"
"Die Nächte sind gerade schlimmer als die Tage. Ich finde einfach keinen richtigen Schlaf. Das zieht mich runter.","1","0","0","0"
"Ich bin abends total kaputt und trotzdem klappt es nicht mit dem Einschlafen. Stunden vergehen einfach. Das frustriert.","1","0","0","0"
"Mein Wecker klingelt und ich habe das Gefühl gar nicht geschlafen zu haben. Alles fühlt sich schwer an. Ich komme kaum in Gang.","1","0","0","0"
"Ich wache viel zu früh auf und kann nicht mehr einschlafen. Dann grüble ich bis zum Morgen. Erholt ist anders.","1","0","0","0"
"Seit Wochen keine Nacht ohne Unterbrechung. Ich vermisse das Gefühl richtig ausgeschlafen zu sein. Das macht mich mürbe.","1","0","0","0"
"Ich döse nur noch statt richtig zu schlafen. Jede Nacht ist unruhig. Tagsüber hänge ich durch.","1","0","0","0"
"Sobald ich im Bett liege bin ich plötzlich hellwach. Mein Körper spielt nicht mit. Das kostet mich Kraft.","1","0","0","0"
"Ich zähle nachts die Stunden bis zum Weckerklingeln. Tiefschlaf scheint es nicht zu geben. Ich bin einfach dauernd müde.","1","0","0","0"
"Auf der Arbeit stapeln sich die Aufgaben. Ich hetze von Termin zu Termin. Mein Puls ist den ganzen Tag oben.","0","1","0","0"
"Heute war alles zu viel. Ständig wollte jemand etwas von mir. Ich komme kaum hinterher.","0","1","0","0"
"Ich fühle mich permanent unter Druck. Kaum ist eine Sache erledigt kommt die nächste. Abschalten fällt schwer.","0","1","0","0"
"Mein Kopf brummt vor lauter To Dos. Ich springe zwischen Aufgaben hin und her. Ruhe gibt es gerade nicht.","0","1","0","0"
"Die Deadlines rücken näher und ich merke wie ich innerlich angespannt bin. Selbst kleine Dinge regen mich auf. Das ist anstrengend.","0","1","0","0"
"Ich habe das Gefühl immer funktionieren zu müssen. Pausen mache ich kaum noch. Das zehrt an mir.","0","1","0","0"
"Heute nur Stress von morgens bis abends. Keine Minute zum Durchatmen. Ich bin richtig gereizt.","0","1","0","0"
"Mein Kalender ist komplett voll. Ich weiß nicht wann ich das alles schaffen soll. Das setzt mich unter Druck.","0","1","0","0"
"Ich renne nur noch von einem Problem zum nächsten. Entspannung fühlt sich weit weg an. So langsam reicht es.","0","1","0","0"
"Alles gleichzeitig und am besten sofort. So fühlt sich mein Alltag an. Ich bin dauernd angespannt.","0","1","0","0"
"Schon beim Aufstehen denke ich an die ganzen Aufgaben. Mein Körper ist ständig auf Alarm. Das macht mich fertig.","0","1","0","0"
"Ich merke wie ich schneller genervt reagiere. Der Druck von außen ist gerade enorm. Ich brauche dringend eine Pause.","0","1","0","0"
"Heute wieder Überstunden gemacht. Mein Kopf raucht einfach nur noch. Abschalten klappt kaum.","0","1","0","0"
"Ich fühle mich gehetzt selbst wenn ich kurz sitze. Innerlich dreht alles auf Vollgas. Das strengt mich total an.","0","1","0","0"
"Zu viele Erwartungen von allen Seiten. Ich versuche allem gerecht zu werden. Dabei bleibe ich selbst auf der Strecke.","0","1","0","0"
"Mein Handy steht nicht still. Nachrichten und Anrufe ohne Ende. Ich komme nicht zur Ruhe.","0","1","0","0"
"Ich spüre die Anspannung im Nacken. Jeder Tag ist gerade ein Kraftakt. Entspannung ist Fehlanzeige.","0","1","0","0"
"Heute hatte ich kaum Zeit zum Essen vor lauter Arbeit. Alles musste schnell gehen. Ich fühle mich ausgelaugt.","0","1","0","0"
