text,schlaf,stress,bewegung,ernaehrung
Heute war ein guter Tag.,0,0,0,0
Mir geht es heute ganz gut.,0,0,0,0
Ich bin heute ziemlich zufrieden.,0,0,0,0
Heute fühlt sich alles recht ausgeglichen an.,0,0,0,0
Ich komme gerade gut durch den Alltag.,0,0,0,0
Im Moment ist bei mir alles okay.,0,0,0,0
Ich fühle mich heute stabil.,0,0,0,0
Heute passt für mich vieles ganz gut.,0,0,0,0
Ich bin gerade recht entspannt.,0,0,0,0
Es läuft im Moment eigentlich gut.,0,0,0,0
Ich habe heute einen klaren Kopf.,0,0,0,0
Mir geht es aktuell insgesamt gut.,0,0,0,0
"Heute war ein normaler, angenehmer Tag.",0,0,0,0
Ich fühle mich gerade recht ausgeglichen.,0,0,0,0
Im Moment bin ich ganz zufrieden mit mir.,0,0,0,0
Heute war alles ziemlich ruhig.,0,0,0,0
Ich habe heute genug Energie.,0,0,0,0
Gerade ist bei mir alles im grünen Bereich.,0,0,0,0
Ich fühle mich aktuell ganz wohl.,0,0,0,0
Im Moment klappt mein Alltag ganz gut.,0,0,0,0
Heute geht es mir wirklich okay.,0,0,0,0
Ich bin heute ruhig und zufrieden.,0,0,0,0
Ich habe letzte Nacht schlecht geschlafen.,1,0,0,0
Ich bin nachts oft aufgewacht.,1,0,0,0
Ich konnte gestern lange nicht einschlafen.,1,0,0,0
Mein Schlaf war sehr unruhig.,1,0,0,0
Ich war heute Morgen trotz genug Zeit nicht erholt.,1,0,0,0
Ich habe diese Woche kaum durchgeschlafen.,1,0,0,0
Ich bin viel zu früh wach geworden.,1,0,0,0
Ich hatte letzte Nacht wieder Schlafprobleme.,1,0,0,0
Ich lag lange wach im Bett.,1,0,0,0
Ich habe nur sehr wenig geschlafen.,1,0,0,0
Ich bin heute total müde wegen der Nacht.,1,0,0,0
Mein Schlafrhythmus ist gerade ziemlich kaputt.,1,0,0,0
Ich schlafe in letzter Zeit echt schlecht.,1,0,0,0
Ich bin nachts mehrmals wach geworden.,1,0,0,0
Ich konnte gestern kaum zur Ruhe kommen.,1,0,0,0
Mein Schlaf fühlt sich gerade nicht erholsam an.,1,0,0,0
Ich wache aktuell oft mitten in der Nacht auf.,1,0,0,0
Ich komme abends schlecht in den Schlaf.,1,0,0,0
Ich habe die letzten Nächte kaum Tiefschlaf.,1,0,0,0
Ich bin heute wie gerädert aufgewacht.,1,0,0,0
Ich schlafe aktuell zu wenig.,1,0,0,0
Die Nacht war wieder ziemlich schlecht.,1,0,0,0
Heute war ein stressiger Tag.,0,1,0,0
Ich bin gerade ziemlich gestresst.,0,1,0,0
Auf der Arbeit ist aktuell sehr viel los.,0,1,0,0
Mich setzt im Moment einiges unter Druck.,0,1,0,0
Ich habe aktuell viel Stress im Kopf.,0,1,0,0
Heute musste alles gleichzeitig passieren.,0,1,0,0
Ich komme gerade kaum hinterher.,0,1,0,0
Im Moment ist mir alles zu viel.,0,1,0,0
Ich fühle mich derzeit stark unter Druck.,0,1,0,0
Ich bin gerade schnell gereizt.,0,1,0,0
Ich kann aktuell schlecht abschalten.,0,1,0,0
Mich stresst die Arbeit im Moment sehr.,0,1,0,0
Ich habe gerade dauernd Termine und Aufgaben.,0,1,0,0
Mein Alltag ist aktuell ziemlich hektisch.,0,1,0,0
Ich bin im Moment innerlich sehr unruhig.,0,1,0,0
Ich denke gerade ständig an offene Aufgaben.,0,1,0,0
Zurzeit belastet mich vieles gleichzeitig.,0,1,0,0
Ich habe aktuell kaum eine ruhige Minute.,0,1,0,0
Heute war einfach zu viel auf einmal.,0,1,0,0
"Ich merke gerade deutlich, wie angespannt ich bin.",0,1,0,0
"Es stresst mich, dass so viel liegen bleibt.",0,1,0,0
Ich fühle mich im Moment dauerhaft angespannt.,0,1,0,0
Ich habe mich heute kaum bewegt.,0,0,1,0
Ich habe die letzten Tage fast keinen Sport gemacht.,0,0,1,0
Ich sitze aktuell viel zu viel.,0,0,1,0
Ich habe mich diese Woche wenig bewegt.,0,0,1,0
Bewegung kommt bei mir gerade zu kurz.,0,0,1,0
Ich war heute fast nur am Schreibtisch.,0,0,1,0
Ich mache im Moment kaum Sport.,0,0,1,0
Ich bewege mich aktuell einfach zu wenig.,0,0,1,0
Ich bin heute fast gar nicht rausgekommen.,0,0,1,0
Ich sitze in letzter Zeit nur noch rum.,0,0,1,0
Ich habe heute kaum Schritte gesammelt.,0,0,1,0
Ich war die letzten Tage sehr inaktiv.,0,0,1,0
Ich habe meine Bewegung gerade ziemlich vernachlässigt.,0,0,1,0
Ich war heute fast den ganzen Tag drinnen und habe mich kaum bewegt.,0,0,1,0
